taxon_name,mean_auc,std_auc,n_folds,min_auc,max_auc,above_threshold
Laetiporus gilbertsonii,0.909,0.0622,4,0.8073,0.9766,True
Larus delawarensis,0.863,0.0359,4,0.803,0.8984,True
Velella velella,0.8533,0.0731,3,0.7556,0.9313,True
Cotinis mutabilis,0.8461,0.1087,11,0.6298,0.984,True
Dosima fascicularis,0.8438,0.0353,3,0.8128,0.8933,True
Trifolium repens,0.8389,0.047,3,0.7767,0.8902,True
Setophaga townsendi,0.8111,0.1027,4,0.6627,0.9349,True
Limonium perezii,0.8057,0.0671,5,0.6761,0.8678,True
Melilotus indicus,0.8034,0.0512,5,0.7135,0.8495,True
Emerita analoga,0.8025,0.0644,3,0.7292,0.886,True
Chrysaora colorata,0.801,0.049,3,0.7367,0.8556,True
Hylephila phyleus,0.7989,0.0895,7,0.6531,0.9564,True
Pseudobatos productus,0.7946,0.0122,3,0.7776,0.8053,True
Urobatis halleri,0.7871,0.0571,3,0.7446,0.8677,True
Coccinella septempunctata,0.7868,0.0962,7,0.5789,0.9141,True
Isocoma menziesii,0.778,0.1053,8,0.6548,0.9578,True
Pisaster ochraceus,0.766,0.0687,4,0.651,0.8251,True
Oxalis pes-caprae,0.7628,0.1329,8,0.5337,0.9801,True
Tringa semipalmata,0.756,0.1081,3,0.6093,0.8665,True
Egretta thula,0.7504,0.0967,4,0.6476,0.907,True
Omphalotus olivascens,0.7428,0.0239,4,0.7149,0.7806,True
Larus heermanni,0.7409,0.0799,4,0.6035,0.7997,True
Triakis semifasciata,0.7287,0.0947,3,0.6031,0.8318,True
Numenius hudsonicus,0.7254,0.1163,4,0.5726,0.897,True
Danaus plexippus,0.725,0.1144,10,0.5361,0.9266,True
Thalasseus maximus,0.7248,0.1098,3,0.5719,0.8242,True
Setophaga coronata,0.7194,0.1466,4,0.6132,0.9709,True
Mytilus californianus,0.7181,0.1024,4,0.6194,0.8877,True
Echium candicans,0.7171,0.169,7,0.4337,0.9289,True
Gryllodes sigillatus,0.7163,0.1916,4,0.4601,0.9133,True
Vanessa cardui,0.7161,0.0959,4,0.5859,0.8148,True
Selasphorus sasin,0.711,0.1215,8,0.5826,0.9132,True
Salvia mellifera,0.7106,0.1195,6,0.4608,0.8052,True
Armina californica,0.7094,0.1223,2,0.5871,0.8317,True
Navanax inermis,0.7073,0.0785,4,0.6337,0.8272,True
Steatoda nobilis,0.7059,0.1018,11,0.5082,0.835,True
Corvus brachyrhynchos,0.7025,0.096,8,0.5838,0.845,True
Dipterostemon capitatus,0.6995,0.0183,4,0.6695,0.7166,True
Paropsis atomaria,0.6976,0.1477,13,0.466,0.9185,True
Glebionis coronaria,0.6975,0.1407,7,0.5281,0.9742,True
Tivela stultorum,0.6963,0.0042,3,0.693,0.7023,True
Metacarcinus anthonyi,0.6957,0.0293,3,0.6563,0.7267,True
Pachygrapsus crassipes,0.6951,0.0894,4,0.6291,0.8473,True
Donax gouldii,0.6906,0.1145,4,0.5882,0.8845,True
Encelia californica,0.6893,0.0898,14,0.477,0.8674,True
Sylvilagus audubonii,0.6886,0.1481,11,0.4392,0.9838,True
Cleomella arborea,0.6853,0.1447,5,0.4729,0.8671,True
Flabellinopsis iodinea,0.6791,0.0707,4,0.6018,0.7942,True
Sisyrinchium bellum,0.6766,0.1738,5,0.4967,0.9152,True
Pandion haliaetus,0.6764,0.1378,4,0.4844,0.8459,True
Acmispon glaber,0.6754,0.0974,4,0.6095,0.8438,True
Lysimachia arvensis,0.6743,0.1357,5,0.4302,0.7968,True
Heteromeles arbutifolia,0.6741,0.1424,6,0.4158,0.8968,True
Procyon lotor,0.6732,0.1594,6,0.4723,0.9449,True
Bombus vosnesenskii,0.6727,0.1013,14,0.3936,0.8033,True
Leiothlypis celata,0.6709,0.1298,8,0.4528,0.8715,True
Marah macrocarpa,0.6705,0.1163,6,0.4967,0.8606,True
Rhus integrifolia,0.6662,0.1358,13,0.5286,0.9579,True
Myliobatis californica,0.6604,0.1597,3,0.4363,0.7973,True
Cylindropuntia prolifera,0.66,0.0293,5,0.6153,0.6957,True
Diplacus puniceus,0.6589,0.1678,5,0.3896,0.8906,True
Hypanus dipterurus,0.6583,0.1187,2,0.5397,0.777,True
Eucheilota bakeri,0.6563,0.036,3,0.6094,0.6969,True
Sceloporus occidentalis,0.6554,0.1464,13,0.2216,0.893,True
Zenaida macroura,0.6537,0.118,6,0.4801,0.8263,True
Calypte anna,0.6525,0.1548,10,0.4267,0.9372,True
Anthopleura sola,0.6518,0.1519,4,0.4707,0.841,True
Falco peregrinus,0.6514,0.1601,4,0.4827,0.8289,True
Limosa fedoa,0.6455,0.1164,3,0.481,0.7332,False
Octopus bimaculoides,0.6446,0.0957,3,0.5373,0.7696,False
Pseudognaphalium biolettii,0.6444,0.1254,3,0.4705,0.7617,False
Artemisia californica,0.6438,0.1576,8,0.3801,0.8976,False
Haemorhous mexicanus,0.6418,0.1916,8,0.3187,0.9746,False
Melozone crissalis,0.6391,0.1482,7,0.433,0.8491,False
Panulirus interruptus,0.639,0.1657,4,0.5034,0.9187,False
Junco hyemalis,0.6388,0.1523,11,0.4454,0.9922,False
Hermissenda opalescens,0.638,0.0918,3,0.5279,0.7526,False
Pinus torreyana,0.6362,0.112,9,0.4569,0.7798,False
Patiria miniata,0.6342,0.1457,3,0.5004,0.8369,False
Melospiza melodia,0.6277,0.1846,12,0.3464,0.9452,False
Hyles lineata,0.6276,0.107,11,0.4679,0.815,False
Latrodectus geometricus,0.625,0.0549,5,0.5723,0.7044,False
Mimus polyglottos,0.6239,0.1811,11,0.3691,0.903,False
Buteo lineatus,0.6209,0.1685,9,0.4299,0.9483,False
Aplidium californicum,0.6197,0.0852,3,0.5001,0.6926,False
Aplysia californica,0.6184,0.1721,5,0.4506,0.9166,False
Larus occidentalis,0.6176,0.14,12,0.4077,0.9365,False
Baccharis pilularis,0.6069,0.0539,4,0.5366,0.6821,False
Spinus psaltria,0.6038,0.1346,7,0.3756,0.8302,False
Cornu aspersum,0.6038,0.1512,13,0.3895,0.9177,False
Nymphalis antiopa,0.5987,0.2125,8,0.2978,0.9295,False
Schistocerca nitens,0.5982,0.1336,6,0.3484,0.7173,False
Phyllospadix torreyi,0.5977,0.1002,3,0.475,0.7205,False
Corvus corax,0.5944,0.1442,5,0.3942,0.774,False
Heterodontus francisci,0.5929,0.1344,3,0.4474,0.7715,False
Sialia mexicana,0.5917,0.0785,6,0.51,0.7431,False
Apis mellifera,0.5888,0.1034,16,0.3823,0.78,False
Eriogonum fasciculatum,0.5877,0.1254,8,0.361,0.7956,False
Euphagus cyanocephalus,0.5827,0.3354,4,0.1148,0.9643,False
Linepithema humile,0.5789,0.1893,5,0.335,0.8678,False
Pollicipes polymerus,0.5786,0.143,3,0.4687,0.7806,False
Armadillidium vulgare,0.5685,0.1317,8,0.2988,0.7481,False
Pelecanus occidentalis,0.5666,0.1629,4,0.3599,0.8118,False
Tyrannus vociferans,0.5634,0.2159,7,0.0859,0.822,False
Blepharipoda occidentalis,0.5514,0.0722,3,0.4507,0.6166,False
Dudleya pulverulenta,0.5481,0.0837,5,0.4847,0.7096,False
Callianax biplicata,0.5466,0.1342,3,0.3969,0.7225,False
Zalophus californianus,0.5459,0.2143,5,0.3767,0.954,False
Dendraster excentricus,0.5404,0.0987,3,0.443,0.6757,False
Elgaria multicarinata,0.5351,0.0667,8,0.4469,0.6301,False
Canis latrans,0.5315,0.1569,8,0.2197,0.7036,False
Sayornis nigricans,0.5313,0.1668,11,0.3403,0.8826,False
Dudleya edulis,0.5267,0.1105,3,0.3823,0.6506,False
Buteo jamaicensis,0.5247,0.1274,9,0.313,0.7029,False
Tursiops truncatus,0.5218,0.1518,3,0.3324,0.7041,False
Pelecanus occidentalis californicus,0.5016,0.097,3,0.3841,0.6216,False
Paraconcavus pacificus,0.4708,0.0217,3,0.4414,0.4931,False
Harmonia axyridis,0.4494,0.0291,2,0.4203,0.4785,False
Urile penicillatus,0.4377,0.0143,3,0.4247,0.4576,False
